name,link,price,kraj,region,apelacja,winnica,rodzaj wina,smak,styl,grona,pojemność,temperatura podawania,wysyłka w ciągu,rocznik,rocznik2,zawartość alkoholu,producent,medale,medale2,grona2,grona3,grona4,czy winnica bio,bio,grona5,grona6,grona7,bio2,wino wegańskie,oceny prasy,wine spectator,rodzaj wina2,zawartość alkoholu2,falstaff,bio3,grona8,guia penin,james suckling,medale3,alkohol zawartość,objętość,rocznik3,temperatura podawania2,wino koszerne,region2,ilość win,grona9,grona10,grona11,grona12,grona13
Adami Bosco Di Gica Brut Valdobbiadene Prosecco Superiore DOCG 2018,https://www.wina.pl/wina-musujace/1977-adami-bosco-di-gica-brut-valdobbiadene-prosecco-superiore-docg.html,"118,00 zł",Włochy,Veneto,Valdobbiadene Prosecco Superiore DOCG,Adami,białe,,,Prosecco,750 ml,8 st.C,3 dni ( dni robocze ),2018,,,,,,,,,,,,,,,,Robert Parker 91,,,,,,,,,,,,,,,,,,,,,
Adami Col Credas Extra Brut Valdobbiadene Prosecco Superiore DOCG,https://www.wina.pl/wina-musujace/2604-adami-col-credas-extra-brut-valdobbiadene-prosecco-superiore-docg.html,"148,00 zł",Włochy,Veneto,Valdobbiadene Prosecco Superiore DOCG,Adami,białe,,,Prosecco,750 ml,8 st.C,3 dni ( dni robocze ),,,,,Tre Bicchieri Gambero Rosso,,,,,,,,,,,,Robert Parker 90,,,,,,,,,,,,,,,,,,,,,
Adami Col Fondo / Sui Lieviti Brut Valdobbiadene Prosecco Superiore DOCG,https://www.wina.pl/wina-musujace/3909-adami-col-fondo-sui-lieviti-brut-valdobbiadene-prosecco-superiore-docg.html,"114,00 zł",Włochy,Veneto,Valdobbiadene Prosecco Superiore DOCG,Adami,musujące,wytrawne,,Prosecco,750 ml,8 st.C,3 dni ( dni robocze ),,,,,,,,,,,,,,,,,,,białe,,,,,,,,,,,,,,,,,,,
Adami Garbel Brut Prosecco Treviso DOC,https://www.wina.pl/wina-musujace/2603-adami-garbel-brut-prosecco-treviso-doc.html,"105,00 zł",Włochy,Veneto,Prosecco Treviso DOC,Adami,białe,,lekkie,Prosecco,750 ml,8 st.C,3 dni ( dni robocze ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aia Vecchia Lagone Toscana IGT 2020,https://www.wina.pl/czerwone/3237-aia-vecchia-lagone-toscana-igt.html,"104,00 zł",Włochy,Toskania,Toscana IGT,,czerwone,wytrawne,średnie,Merlot,750 ml,14 st.C,3 dni ( dni robocze ),2020,,13.5%,,,,Cabernet Sauvignon,Cabernet Franc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aia Vecchia Lagone Toscana IGT magnum 1,5 L 2018",https://www.wina.pl/czerwone/3238-aia-vecchia-lagone-toscana-igt-magnum-15-l.html,"232,00 zł",Włochy,Toskania,Toscana IGT,,czerwone,wytrawne,średnie,Merlot,"1,5 L",15 st.C,3 dni ( dni robocze ),2018,,13.5%,,,,Cabernet Sauvignon,Cabernet Franc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aia Vecchia Sor Ugo Bolgheri DOC 2019,https://www.wina.pl/czerwone/3239-aia-vecchia-sor-ugo-bolgheri-doc.html,"240,00 zł",Włochy,Toskania,Bolgheri DOC,,czerwone,wytrawne,pełne,Merlot,750 ml,16-18 st.C,3 dni ( dni robocze ),2019,,15%,,,,Petit Verdot,Cabernet Sauvignon,Cabernet Franc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aia Vecchia Vermentino Toscana IGT 2021,https://www.wina.pl/biale/3240-aia-vecchia-vermentino-toscana-igt.html,"80,00 zł",Włochy,Toskania,Toscana IGT,,białe,wytrawne,lekkie,Vermentino,750 ml,10 st.C,3 dni ( dni robocze ),2021,,12.5%,,,,Viognier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alamos Cabernet Sauvignon Uco Valley 2019,https://www.wina.pl/wina-czerwone-wytrawne/2637-alamos-cabernet-sauvignon-uco-valley.html,"71,00 zł",Argentyna,,,Bodegas Catena Zapata,czerwone,wytrawne,,Cabernet Sauvignon,750 ml,,3 dni ( dni robocze ),2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alamos Chardonnay Uco Valley 2020,https://www.wina.pl/wina-biale-wytrawne/2636-alamos-chardonnay-uco-valley.html,"71,00 zł",Argentyna,Uco Valley,,Bodegas Catena Zapata,białe,wytrawne,,Chardonnay,750 ml,,3 dni ( dni robocze ),2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
