name,link,price (PLN),country,region,appellation,vineyard,vintage,volume (liters),alcohol (%),serving temperature (C),color,kind,taste,style,medals,wegan,natural,punctation,grapes
Aldo Viola Biancoviola Bianco IGP Terre Siciliane,https://www.wina.pl/naturalne/4067-aldo-viola-biancoviola-bianco-igp-terre-siciliane.html,155.0,Włochy,Sycylia,Terre Siciliane IGT,,2021.0,0.75,13.0,10-12,białe,,wytrawne,średnie,,False,True,,"Grecanico, Catarratto, Grillo"
Aldo Viola Brutto IGP Terre Siciliane,https://www.wina.pl/naturalne/4070-aldo-viola-brutto-igp-terre-siciliane.html,154.0,Włochy,Sycylia,Terre Siciliane IGT,,2021.0,0.75,12.0,8,,musujące,wytrawne,lekkie,,False,True,,Catarratto
Aldo Viola Coccinella Syrah IGP Terre Siciliane,https://www.wina.pl/naturalne/4071-aldo-viola-coccinella-syrah-igp-terre-siciliane.html,149.0,Włochy,Sycylia,Terre Siciliane IGT,,2021.0,0.75,13.0,16,czerwone,,wytrawne,średnie,,False,True,,Shiraz / Syrah
Aldo Viola Egesta IGP Terre Siciliane,https://www.wina.pl/naturalne/4069-aldo-viola-egesta-igp-terre-siciliane.html,199.0,Włochy,Sycylia,Terre Siciliane IGT,,2019.0,0.75,13.5,12,pomarańczowe,,wytrawne,średnie,,False,True,,Grillo
Aldo Viola Krimiso IGP Terre Siciliane,https://www.wina.pl/naturalne/4068-aldo-viola-krimiso-igp-terre-siciliane.html,195.0,Włochy,Sycylia,Terre Siciliane IGT,,2019.0,0.75,12.5,12,pomarańczowe,,wytrawne,średnie,,False,True,,Catarratto
Alessandra Divella Blanc De Blancs Zero NV NV,https://www.wina.pl/naturalne/4173-alessandra-divella-blanc-de-blancs-zero-nv.html,249.0,Włochy,Lombardia,,,,0.75,12.0,9,,musujące,wytrawne,średnie,,False,True,,Chardonnay
Alessandra Divella Clo Clo Rosé Zero NV NV,https://www.wina.pl/naturalne/4174-alessandra-divella-clo-clo-rose-zero-nv.html,359.0,Włochy,Lombardia,,,,0.75,12.0,9,różowe,musujące,wytrawne,średnie,,False,True,,Pinot Noir
Alheit Cartology Bio,https://www.wina.pl/naturalne/2877-alheit-cartology-bio.html,211.0,RPA,Western Cape,,Alheit Vineyards,2019.0,0.75,13.36,12,białe,,wytrawne,średnie,,True,True,,"Chenin Blanc, Semillon"
Alheit Magnetic North Bio,https://www.wina.pl/naturalne/2879-alheit-magnetic-north-bio.html,389.0,RPA,Western Cape,,Alheit Vineyards,2020.0,0.75,13.36,12,białe,,wytrawne,średnie,,True,True,,Chenin Blanc
Alheit Nautical Dawn Bio,https://www.wina.pl/naturalne/2882-alheit-nautical-dawn-bio.html,227.0,RPA,Stellenbosch,,Alheit Vineyards,2020.0,0.75,13.0,12,białe,,wytrawne,lekkie,,True,True,,Chenin Blanc
Allegrini Amarone Valpolicella Classico DOCG box,https://www.wina.pl/wina-czerwone-wytrawne/1983-allegrini-amarone-valpolicella-classico-docg-box.html,468.0,Włochy,Veneto,Amarone della Valpolicella Classico DOCG,Allegrini,2017.0,0.75,,18,czerwone,,wytrawne,pełne,Tre Bicchieri Gambero Rosso,False,False,,"Corvina/Corvinone, Rondinella, Oseleta"
