name,link,price (PLN),country,region,appellation,vineyard,vintage,volume (liters),alcohol (%),serving temperature (C),color,kind,taste,style,medals,wegan,natural,punctation,grapes
Piedemonte Crianza Cabernet Navarra DO,https://www.wina.pl/wina-czerwone-wytrawne/3800-piedemonte-crianza-cabernet-navarra-do.html,57.0,Hiszpania,Navarra,Navarra DO,,2018.0,0.75,14.5,16-18,czerwone,,wytrawne,pełne,,False,False,,Cabernet Sauvignon
Piedemonte Crianza Merlot Navarra DO,https://www.wina.pl/wina-czerwone-wytrawne/3798-piedemonte-crianza-merlot-navarra-do.html,59.0,Hiszpania,Navarra,Navarra DO,,2019.0,0.75,14.5,15,czerwone,,wytrawne,średnie,,False,False,,Merlot
Piedemonte Crianza Tempranillo Navarra DO,https://www.wina.pl/wina-czerwone-wytrawne/3801-piedemonte-crianza-tempranillo-navarra-do.html,59.0,Hiszpania,Navarra,Navarra DO,,2018.0,0.75,14.0,16-18,czerwone,,wytrawne,pełne,,False,False,,Tempranillo
Piedemonte Gamma Tinto Navarra DO,https://www.wina.pl/wina-czerwone-wytrawne/3797-piedemonte-gamma-tinto-navarra-do.html,45.0,Hiszpania,Navarra,Navarra DO,,2021.0,0.75,14.0,16,czerwone,,wytrawne,średnie,"Mundus Vini Silver, Bruxela Srebrny",False,False,,"Cabernet Sauvignon, Tempranillo, Merlot"
Piedemonte Garnacha Viñas Viejas Navarra DO,https://www.wina.pl/wina-czerwone-wytrawne/3803-piedemonte-garnacha-vinas-viejas-navarra-do.html,75.0,Hiszpania,Navarra,Navarra DO,,2018.0,0.75,14.0,16-18,czerwone,,wytrawne,pełne,,False,False,,Garnacha
Piedemonte La Garra Blanco Navarra DO,https://www.wina.pl/wina-biale-wytrawne/3808-piedemonte-la-garra-blanco-navarra-do.html,63.0,Hiszpania,Navarra,Navarra DO,,2021.0,0.75,12.5,10,białe,,wytrawne,średnie,,False,False,,"Viura, Chardonnay"
Piedemonte La Garra Tinto Navarra DO,https://www.wina.pl/wina-czerwone-wytrawne/3804-piedemonte-la-garra-tinto-navarra-do.html,53.0,Hiszpania,Navarra,Navarra DO,,2019.0,0.75,14.5,16-18,czerwone,,wytrawne,pełne,,False,False,,"Garnacha, Tempranillo"
Piedemonte Merlot Joven Navarra DO,https://www.wina.pl/wina-czerwone-wytrawne/3806-piedemonte-merlot-joven-navarra-do.html,42.0,Hiszpania,Navarra,Navarra DO,,2020.0,0.75,14.5,15,czerwone,,wytrawne,średnie,,False,False,,Merlot
Piedemonte Moose Brothers Navarra DO,https://www.wina.pl/wina-czerwone-wytrawne/3796-piedemonte-moose-brothers-navarra-do.html,49.99,Hiszpania,Navarra,Navarra DO,,2021.0,0.75,14.0,15,czerwone,,wytrawne,średnie,,False,False,,"Garnacha, Tempranillo"
Piedemonte Tempranillo Joven Navarra DO,https://www.wina.pl/wina-czerwone-wytrawne/3805-piedemonte-tempranillo-joven-navarra-do.html,45.0,Hiszpania,Navarra,Navarra DO,,2021.0,0.75,14.0,15,czerwone,,wytrawne,średnie,,False,False,,Tempranillo
Pieluni Riserva Illuminati,https://www.wina.pl/wina-czerwone-wytrawne/346-pieluni-riserva-illuminati.html,259.0,Włochy,Abruzja,Montep.d Abruzzo Colline Terramane DOC,Illuminati,2015.0,0.75,15.0,18,czerwone,,wytrawne,pełne,Due Bicchieri Gambero Rosso,False,False,,Montepulciano
Pievalta Campo del Noce Marche IGT Rosso,https://www.wina.pl/biodynamiczne/3946-pievalta-campo-del-noce-marche-igt-rosso.html,95.0,Włochy,Marchia,Marche IGT,,2017.0,0.75,12.5,16,czerwone,,wytrawne,średnie,,False,True,,Montepulciano
Pievalta Dominè Verdicchio dei Castelli di Jesi DOC Classico Superiore,https://www.wina.pl/biodynamiczne/3945-pievalta-domine-verdicchio-dei-castelli-di-jesi-doc-classico-superiore.html,116.0,Włochy,Marchia,Verdicchio dei Castelli di Jesi DOC Classico Superiore,,2019.0,0.75,12.5,10-12,białe,,wytrawne,średnie,Tre Bicchieri Gambero Rosso,False,True,,Verdicchio
Pievalta Perlugo Dosaggio Zero,https://www.wina.pl/musujace/3014-pievalta-perlugo-dosaggio-zero.html,109.0,Włochy,Marchia,,,,0.75,12.5,8,,musujące,wytrawne,średnie,,False,True,,Verdicchio
Pievalta Perlugo Dosaggio Zero Magnum,https://www.wina.pl/musujace/3015-pievalta-perlugo-dosaggio-zero-magnum-15-l.html,229.0,Włochy,Marchia,,,,1.5,12.5,8,,musujące,wytrawne,średnie,,False,True,,Verdicchio
Pino Laurent Premium Auer,https://www.wina.pl/wina-czerwone-wytrawne/350-pinot-laurent-premium-auer.html,109.0,Austria,Weinland,Thermenregion,Auer,2020.0,0.75,13.0,17,czerwone,,wytrawne,pełne,,False,True,,Pinot Noir
Pinot Blanc Auer,https://www.wina.pl/wina-biale-wytrawne/70-pinot-blanc-auer.html,59.0,Austria,Weinland,Thermenregion,Auer,2020.0,0.75,13.0,10,białe,,wytrawne,lekkie,,False,True,,Pinot Blanc
Pinot Grigio Alois Lageder Alto Adige DOC,https://www.wina.pl/wina-biale-wytrawne/2837-pinot-grigio-alois-lageder-alto-adige-doc.html,111.0,Włochy,Trentino Alto Adige,Alto Adige Pinot Grigio DOC,Alois Lageder,2019.0,0.75,,,białe,,wytrawne,,,False,False,,Pinot Grigio
Pinot Grigio Marchese della Torre,https://www.wina.pl/wina-biale-wytrawne/1346-pinot-grigio-marchese-della-torre.html,42.0,Włochy,Sycylia,Sicilia IGT,San Rocco,2022.0,0.75,12.5,11,białe,,wytrawne,średnie,,False,False,,Pinot Gris
Pinot Grigio St.Valentin St. Michele Eppan,https://www.wina.pl/biale/84-pinot-grigio-stvalentin-st-michele-eppan.html,179.0,Włochy,Trentino Alto Adige,Alto Adige Pinot Grigio DOC,St. Michael-Eppan,2019.0,0.75,14.5,12,białe,,wytrawne,pełne,,False,False,93.5,Pinot Gris
Pinot Gris Albert Mann Cuvee Albert,https://www.wina.pl/wina-biale-wytrawne/2838-pinot-gris-albert-mann-cuvee-albert.html,159.0,Francja,Alzacja,Alsace AOC,Albert Mann,2017.0,0.75,,12,białe,,wytrawne,średnie,,False,True,,Pinot Gris
Pinot Nero IGT Venezia Giulia Bressan,https://www.wina.pl/naturalne/2609-pinot-nero-igt-venezia-giulia-bressan.html,285.0,Włochy,Friuli,Venezia Gulia IGT,Bressan,2018.0,0.75,13.0,16-18,czerwone,,wytrawne,średnie,,False,True,,Pinot Noir
Pinot Nero St.Michael-Eppan,https://www.wina.pl/wina-czerwone-wytrawne/272-pinot-nero-stmichael-eppan.html,113.0,Włochy,Trentino Alto Adige,Alto Adige Pinot Nero DOC,St. Michael-Eppan,2020.0,0.75,13.5,16,czerwone,,wytrawne,średnie,,False,False,,Pinot Noir
Pinot Noir Alois Lageder Alto Adige DOC,https://www.wina.pl/wina-czerwone-wytrawne/2843-pinot-noir-alois-lageder-alto-adige-doc.html,139.0,Włochy,Trentino Alto Adige,Alto Adige Pinot Nero DOC,Alois Lageder,2020.0,0.75,13.5,16,czerwone,,wytrawne,średnie,,False,False,,Pinot Noir
Pinot Noir Apátsági Pannonhalmi,https://www.wina.pl/wina-czerwone-wytrawne/1028-pinot-noir-apatsagi-pannonhalmi.html,129.0,Węgry,Pannonhalma,,Apátsági Pannonhalmi,2019.0,0.75,14.5,17,czerwone,,wytrawne,średnie,,False,False,,Pinot Noir
Pinot Noir Bouchard Aine & Fils,https://www.wina.pl/wina-czerwone-wytrawne/1587-pinot-noir-bouchard-aine-fils.html,63.0,Francja,Burgundia,Vin de France,Bouchard Aîné & Fils,2021.0,0.75,12.5,16,czerwone,,wytrawne,lekkie,,False,False,,Pinot Noir
Pinot Noir Gran Reserva Pedriscal Falernia,https://www.wina.pl/czerwone/1712-pinot-noir-gran-reserva-pedriscal-falernia.html,109.0,Chile,Elqui Valley,,Falernia,2018.0,0.75,14.0,18,czerwone,,wytrawne,średnie,Decanter Bronze,False,False,,Pinot Noir
Pinot Noir Les Saintes Claires Albert Mann,https://www.wina.pl/wina-czerwone-wytrawne/2842-pinot-noir-les-saintes-claires-albert-mann.html,449.0,Francja,Alzacja,Alsace AOC,Albert Mann,2019.0,0.75,13.0,15,czerwone,,wytrawne,pełne,,False,True,,Pinot Noir
Pinot Noir Napa Valley Robert Mondavi,https://www.wina.pl/wina-czerwone-wytrawne/1434-pinot-noir-napa-valley-robert-mondavi.html,309.0,USA,Kalifornia,,Robert Mondavi Winery,2018.0,0.75,15.5,18,czerwone,,wytrawne,średnie,,False,False,,Pinot Noir
Pinot Noir Reserve Auer,https://www.wina.pl/wina-czerwone-wytrawne/1309-pinot-noir-reserve-auer.html,152.1,Austria,Weinland,Thermenregion,Auer,2018.0,0.75,13.5,,czerwone,,wytrawne,średnie,,False,True,95.0,Pinot Noir
Pinot Noir Selektion Auer,https://www.wina.pl/wina-czerwone-wytrawne/3869--pinot-noir-selektion-auer.html,59.0,Austria,Weinland,Thermenregion,Auer,2017.0,0.75,13.0,16,czerwone,,wytrawne,lekkie,,False,True,,Pinot Noir
Pinot Noir Winnica Srebrna Góra,https://www.wina.pl/wina-czerwone-wytrawne/1467-pinot-noir-winnica-srebrna-gora.html,73.0,POLSKA,Małopolska,,Winnica Srebrna Góra,2021.0,0.75,12.0,15,czerwone,,wytrawne,lekkie,,False,False,,Pinot Noir
Pinot Noir Winnica Turnau,https://www.wina.pl/wina-czerwone-wytrawne/2530-pinot-noir-winnica-turnau.html,149.0,POLSKA,,,Winnica Turnau,2020.0,0.75,,16,czerwone,,wytrawne,średnie,,False,False,,Pinot Noir
Pinotage Cellar Selection Kleine Zalze,https://www.wina.pl/wina-czerwone-wytrawne/1836-pinotage-cellar-selection-kleine-zalze.html,59.0,RPA,Stellenbosch,,Kleine Zalze,2019.0,0.75,14.0,16,czerwone,,wytrawne,średnie,,False,False,,Pinotage
Pirosmani Kakhuri Red,https://www.wina.pl/wina-czerwone-polwytrawne/1938-pirosmani-kakhuri-red.html,39.0,Gruzja,Kachetia,,Kakhuri,,0.75,11.5,16-18,czerwone,,półwytrawne,średnie,,False,False,,Saperavi
Pirosmani Kakhuri White,https://www.wina.pl/wina-biale-polwytrawne/2847-pirosmani-kakhuri-white.html,37.0,Gruzja,Kachetia,,Kakhuri,,0.75,11.0,10-12,białe,,półwytrawne,średnie,,False,False,,"Mtswane, Kisi, Rkatsiteli"
Pisano Cisplatino Tannat Small Reserve,https://www.wina.pl/wina-czerwone-wytrawne/2062-pisano-cisplatino-tannat-small-reserve.html,64.0,Urugwaj,,,Bodegas Pisano,2020.0,,13.5,,czerwone,,wytrawne,,,False,False,,Tannat
Pisano Cisplatino Torrontes Small Reserve,https://www.wina.pl/wina/2063-pisano-cisplatino-torrontes-small-reserve.html,64.0,Urugwaj,,,Bodegas Pisano,2019.0,,,,białe,,wytrawne,,,False,False,,Torrontes
Pisano Petit Verdot RPF,https://www.wina.pl/wina-czerwone-wytrawne/2064-pisano-petit-verdot-rpf.html,119.0,Urugwaj,,,Bodegas Pisano,2017.0,0.75,,,czerwone,,wytrawne,,,False,False,,Petit Verdot
Pisano Río De Los Pájaros Tannat – Syrah - Viognier,https://www.wina.pl/wina-czerwone-wytrawne/2066-pisano-rio-de-los-pajaros-tannat-syrah-viognier.html,86.0,Urugwaj,,,Bodegas Pisano,2019.0,0.75,,,czerwone,,wytrawne,,,False,False,,"Viognier, Syrah, Tannat"
Pisano Tannat RPF,https://www.wina.pl/wina/2607-pisano-tannat-rpf.html,105.0,Urugwaj,,,Bodegas Pisano,2018.0,0.75,,18,czerwone,,wytrawne,średnie,,False,False,,Tannat
Piwnice Półtorak Solaris,https://www.wina.pl/wina-biale-wytrawne/2896-piwnice-poltorak-solaris.html,129.0,POLSKA,Podkarpacie,,,2019.0,0.75,13.0,10-12,białe,,wytrawne,pełne,,False,False,,Solaris
Podere Ortica 3BBOLLE Frizzante Toscana IGT,https://www.wina.pl/naturalne/3408-podere-ortica-3bbolle-frizzante-toscana-igt.html,109.0,Włochy,Toskania,Toscana IGT,,2020.0,0.75,12.0,11,,musujące,wytrawne,średnie,,True,True,,Trebbiano Toscano
Podere Ortica Ade Toscana IGT,https://www.wina.pl/naturalne/3404-podere-ortica-ade-toscana-igt.html,98.0,Włochy,Toskania,Toscana IGT,,2020.0,0.75,13.0,13,pomarańczowe,,wytrawne,średnie,,True,True,,Trebbiano Toscano
Podere Ortica Agadé Toscana IGT,https://www.wina.pl/naturalne/3405-podere-ortica-agade-toscana-igt.html,99.0,Włochy,Toskania,Toscana IGT,,2019.0,0.75,12.5,14,różowe,,wytrawne,średnie,,True,True,,Sangiovese
Podere Ortica Ago Toscana IGT,https://www.wina.pl/naturalne/3406-podere-ortica-ago-toscana-igt.html,99.0,Włochy,Toskania,Toscana IGT,,2019.0,0.75,13.5,14,czerwone,,wytrawne,średnie,,True,True,,"Trebbiano Toscano, Colorino, Sangiovese, Canaiolo"
Podere Ortica Ati Chianti DOCG,https://www.wina.pl/naturalne/3407-podere-ortica-ati-chianti-docg.html,97.0,Włochy,Toskania,Chianti DOCG,,2020.0,0.75,13.5,16,czerwone,,wytrawne,średnie,,True,True,,"Canaiolo, Sangiovese, Colorino"
Poggio Al Tesoro Mediterra Toscana IGT,https://www.wina.pl/wina-czerwone-wytrawne/1997-poggio-al-tesoro-mediterra-toscana-igt.html,123.0,Włochy,Toskania,Toscana IGT,Allegrini/Poggio al Tesoro,2020.0,0.75,,,czerwone,,wytrawne,,,False,False,,"Merlot, Cabernet Sauvignon, Syrah"
Poggio Al Tesoro Solosole Vermentino Bolgheri DOC,https://www.wina.pl/wina-biale-wytrawne/1998-poggio-al-tesoro-solosole-vermentino-bolgheri-doc.html,151.0,Włochy,Toskania,Bolgheri DOC,Allegrini/Poggio al Tesoro,2020.0,0.75,,,białe,,wytrawne,,"Due Bicchieri Gambero Rosso, Mundus Vini Gold",False,False,92.0,Vermentino
Poggio Al Tesoro Sondraia Bolgheri Superiore DOC,https://www.wina.pl/wina-czerwone-wytrawne/2611--poggio-al-tesoro-sondraia-bolgheri-superiore-doc.html,369.0,Włochy,Toskania,Bolgheri DOC,Allegrini/Poggio al Tesoro,2017.0,0.75,15.0,,czerwone,,wytrawne,,,False,False,92.0,"Merlot, Cabernet Sauvignon, Cabernet Franc"
Pol Cochet Latitude 48.01 Brut Nature Champagne AC,https://www.wina.pl/szampany/1947-pol-cochet-latitude-4801-brut-nature-champagne-ac.html,306.0,Francja,Szampania,Champagne AOC,Pol Cochet,,0.75,12.0,8-10,,szampan,wytrawne,lekkie,Decanter Bronze,False,False,,
Poliziano Ambrae Toscana Bianco IGT,https://www.wina.pl/promocje/2903-poliziano-ambrae-toscana-bianco-igt.html,109.0,Włochy,Toskania,Toscana IGT,Poliziano,2021.0,0.75,13.5,8-10,białe,,wytrawne,,,False,False,,"Chardonnay, Sauvignon Blanc"
Portal del Priorat Gotes del Priorat DOQ,https://www.wina.pl/wina-czerwone-wytrawne/2432-portal-del-priorat-gotes-del-priorat-doq.html,133.0,Hiszpania,Katalonia,Priorat DOQ,Portal del Priorat,2020.0,0.75,,18,czerwone,,wytrawne,,,False,True,91.0,"Garnacha, Carignan, Cabernet"
Portal del Priorat Negre de Negres Priorat DOQ,https://www.wina.pl/wina-czerwone-wytrawne/2433-portal-del-priorat-negre-de-negres-priorat-doq.html,199.0,Hiszpania,Katalonia,Priorat DOQ,Portal del Priorat,2017.0,0.75,,18,czerwone,,wytrawne,,,False,True,,"Garnacha Tinto, Carignan, Cabernet Sauvignon, Syrah"
Porto 10 Anos Tawny Burmester,https://www.wina.pl/porto/4497-porto-10-anos-tawny-burmester.html,129.0,Portugalia,Douro,Porto DOC,Burmester,,0.75,20.0,,,porto,półsłodkie,pełne,,False,False,91.0,"Tinta Roriz, Touriga Nacional, Touriga Francesa"
Porto 10 Anos Tawny Kopke w skrzynce,https://www.wina.pl/porto/4495-porto-10-anos-tawny-kopke-w-skrzynce.html,179.0,Portugalia,Douro,Porto DOC,,,0.75,20.0,14,,porto,półsłodkie,pełne,"Decanter Gold, Mundus Vini Gold",False,False,91.0,"Tinta Roriz, Touriga Nacional, Touriga Francesa"
Porto 10 Anos White Kopke,https://www.wina.pl/porto/4350-porto-10-anos-white-kopke.html,119.0,Portugalia,Douro,Porto DOC,Kopke,,0.75,20.0,10-12,,porto,wytrawne,średnie,,False,False,,"Viosinho, Ribagato, Arinto, Guveio"
Porto 20 Anos Tawny Burmester,https://www.wina.pl/porto/4496-porto-20-anos-tawny-burmester.html,319.0,Portugalia,Douro,Porto DOC,Burmester,,0.75,20.0,,,porto,półsłodkie,pełne,IWC Gold,False,False,,"Tinta Roriz, Touriga Nacional, Touriga Francesa"
Porto 20 Anos Tawny Kopke w skrzynce,https://www.wina.pl/porto/4494-porto-20-anos-tawny-kopke-w-skrzynce.html,297.0,Portugalia,Douro,Porto DOC,,,0.75,20.0,14,,porto,półsłodkie,pełne,,False,False,94.0,"Tinta Roriz, Touriga Nacional, Touriga Francesa"
Porto 30 Anos Tawny Burmester,https://www.wina.pl/porto/4216-porto-30-anos-tawny-burmester.html,459.0,Portugalia,Douro,Porto DOC,Burmester,,0.75,20.0,,,porto,półsłodkie,pełne,IWC Gold,False,False,,"Tinta Roriz, Touriga Nacional, Touriga Francesa"
Porto Burmester Colheita,https://www.wina.pl/porto/4488-porto-burmester-colheita.html,219.0,Portugalia,Douro,Porto DOC,Burmester,2004.0,0.75,20.0,14,,porto,półsłodkie,pełne,"IWC Silver, Decanter Silver",False,False,,"Tinta Roriz, Touriga Nacional, Touriga Francesa"
Porto Burmester Colheita,https://www.wina.pl/porto/4470-porto-burmester-colheita.html,185.0,Portugalia,Douro,Porto DOC,Burmester,2008.0,0.75,20.0,14,,porto,półsłodkie,pełne,,False,False,,"Tinta Roriz, Touriga Nacional, Touriga Francesa"
Porto Burmester Colheita w tubie,https://www.wina.pl/porto/4489-porto-burmester-colheita-w-tubie.html,219.0,Portugalia,Douro,Porto DOC,Burmester,2009.0,0.75,20.0,14,,porto,półsłodkie,pełne,,False,False,,"Tinta Roriz, Touriga Nacional, Touriga Francesa"
Porto Dry White,https://www.wina.pl/porto/4390-porto-dry-white.html,65.0,Portugalia,Douro,Porto DOC,Niepoort,,0.75,19.0,10-12,,porto,wytrawne,pełne,,False,False,,"Codega, Guveio, Arinto, Viosinho, Ribagato"
Porto Kopke Colheita,https://www.wina.pl/porto/4377-porto-kopke-colheita.html,629.0,Portugalia,Douro,Porto DOC,Niepoort,1979.0,0.75,20.0,15,,porto,półsłodkie,pełne,,False,False,,"Tinta Amarela, Touriga Nacional, Touriga Francesa"
Porto LBV Burmester,https://www.wina.pl/porto/4498-porto-lbv-burmester.html,107.0,Portugalia,Douro,Porto DOC,Burmester,2016.0,0.75,20.0,,,porto,półsłodkie,pełne,,False,False,91.0,"Tinta Roriz, Touriga Nacional, Touriga Francesa"
Porto Niepoort Ruby NV,https://www.wina.pl/porto/4391-porto-niepoort-ruby-nv.html,65.0,Portugalia,Douro,Porto DOC,Niepoort,,0.75,19.0,15,,porto,półsłodkie,średnie,,False,False,,"Tinta Barroca, Touriga Francesa, Touriga Nacional, Tinta Roriz"
Porto Reserva Tawny Kopke,https://www.wina.pl/porto/4332-porto-reserva-tawny-kopke.html,99.0,Portugalia,Douro,Porto DOC,,,0.75,19.5,15,,porto,półsłodkie,,,False,False,,"Tinta Amarela, Touriga Nacional, Touriga Francesa"
Porto Ruby Burmester,https://www.wina.pl/porto/4501-porto-ruby-burmester.html,59.0,Portugalia,Douro,Porto DOC,Burmester,,0.75,20.0,,,porto,półsłodkie,średnie,,False,False,,"Tinta Roriz, Touriga Nacional, Touriga Francesa"
Porto Sotto Voce Ruby Reserve Burmester,https://www.wina.pl/porto/4499-porto-sotto-voce-ruby-reserve-burmester.html,89.0,Portugalia,Douro,Porto DOC,Burmester,,0.75,20.0,,,porto,półsłodkie,pełne,,False,False,,"Tinta Roriz, Touriga Nacional, Touriga Francesa"
Porto Tawny Burmester,https://www.wina.pl/porto/4500-porto-tawny-burmester.html,59.0,Portugalia,Douro,Porto DOC,Burmester,,0.75,20.0,,,porto,półsłodkie,pełne,,False,False,,"Tinta Roriz, Touriga Nacional, Touriga Francesa"
Porto Tawny NV Niepoort,https://www.wina.pl/porto/4493-porto-tawny-nv-niepoort.html,65.0,Portugalia,Douro,Porto DOC,Niepoort,,0.75,20.0,15,,porto,półsłodkie,średnie,,False,False,,"Tinta Barroca, Touriga Francesa, Touriga Nacional, Tinta Roriz"
Porto Vintage Niepoort,https://www.wina.pl/porto/4483-porto-vintage-niepoort-.html,545.0,Portugalia,Douro,Porto DOC,,2019.0,0.75,19.5,,,porto,półsłodkie,pełne,,True,False,96.0,"Touriga Nacional, Touriga Francesa, Tinta Amarela"
Pra Amarone Della Valpolicella DOCG,https://www.wina.pl/naturalne/2746-pra-amarone-della-valpolicella-docg.html,409.0,Włochy,Veneto,Amarone della Valpolicella Classico DOCG,Prà,2015.0,0.75,17.0,18,czerwone,,wytrawne,pełne,,False,True,,"Corvina Veronese, Corvinone, Rondinella, Oseleta"
Prà Monte Grande Soave Classico DOC,https://www.wina.pl/organiczne/3949-pra-monte-grande-soave-classico-doc.html,165.0,Włochy,Veneto,Soave Classico DOC,,2019.0,0.75,12.5,10-12,białe,,wytrawne,pełne,,False,True,,"Trebbiano di Soave, Garganega"
Pra Morandina Valpolicella DOC,https://www.wina.pl/naturalne/2744-pra-morandina-valpolicella-doc.html,109.0,Włochy,Veneto,Valpolicella DOC,Prà,2020.0,0.75,12.5,15,czerwone,,wytrawne,średnie,,False,True,,"Corvina Veronese, Corvinone, Rondinella, Oseleta"
Prà OTTO Soave Classico DOC,https://www.wina.pl/organiczne/3947-pra-otto-soave-classico-doc.html,79.0,Włochy,Veneto,Soave Classico DOC,,2020.0,0.75,12.5,10-12,białe,,wytrawne,lekkie,,False,True,93.0,Garganega
Prà Staforte Soave Classico DOC,https://www.wina.pl/organiczne/3948-pra-staforte-soave-classico-doc.html,139.0,Włochy,Veneto,Soave Classico DOC,,2019.0,0.75,12.5,10-12,białe,,wytrawne,średnie,,False,True,,Garganega
Pradorey ADARO. Ribera del Duero DO,https://www.wina.pl/organiczne/3709-pradorey-adaro-ribera-del-duero-do.html,121.0,Hiszpania,Kastylia (Castilla y Leon),Ribera del Duero DO,,2019.0,0.75,14.0,16,czerwone,,wytrawne,pełne,Mundus Vini Gold,False,True,93.0,Tempranillo
Pradorey Crianza Finca Valdelayegua,https://www.wina.pl/wina-czerwone-wytrawne/1949-pradorey-crianza-finca-valdelayegua.html,89.0,Hiszpania,Ribera del Duero,Ribera del Duero DO,Pradorey,2018.0,0.75,14.5,16-18,czerwone,,wytrawne,pełne,,False,False,,Tempranillo
Pradorey Cuvee Premium,https://www.wina.pl/wina-czerwone-wytrawne/1950-pradorey-cuvee-premium.html,69.0,Hiszpania,Ribera del Duero,Ribera del Duero DO,Pradorey,2020.0,0.75,14.0,16-18,czerwone,,wytrawne,pełne,,False,False,,Tempranillo
Pradorey Élite Ribera del Duero DO,https://www.wina.pl/organiczne/3708-pradorey-elite-ribera-del-duero-do.html,189.0,Hiszpania,Kastylia (Castilla y Leon),Ribera del Duero DO,,2019.0,0.75,14.0,16,czerwone,,wytrawne,pełne,"Decanter Gold, Mundus Vini Gold",False,True,96.0,Tempranillo
Pradorey Origen Joven Ribera del Duero DO,https://www.wina.pl/organiczne/3710-pradorey-origen-joven-ribera-del-duero-do.html,63.0,Hiszpania,Kastylia (Castilla y Leon),Ribera del Duero DO,,2020.0,0.75,14.0,16,czerwone,,wytrawne,średnie,,False,True,90.0,Tempranillo
Pradorey Reserva Finca La Mina Ribera del Duero DO,https://www.wina.pl/organiczne/3707-pradorey-reserva-finca-la-mina-ribera-del-duero-do.html,155.0,Hiszpania,Kastylia (Castilla y Leon),Ribera del Duero DO,,2017.0,0.75,14.5,16,czerwone,,wytrawne,pełne,,False,True,93.0,Tempranillo
Pradorey Sr. NIÑO Tempranillo Ribera del Duero DO,https://www.wina.pl/organiczne/3706-pradorey-sr-nino-tempranillo-ribera-del-duero-do.html,75.0,Hiszpania,Kastylia (Castilla y Leon),Ribera del Duero DO,,2021.0,0.75,14.5,16,czerwone,,wytrawne,średnie,,False,True,,Tempranillo
Prestige Arenes Rouge Cornas AOP Chapoutier,https://www.wina.pl/naturalne/2712-prestige-arenes-rouge-cornas-aop-chapoutier.html,265.0,Francja,Dolina Rodanu,Hermitage AOP,Maison Michel Chapoutier,2018.0,0.75,14.0,16-18,czerwone,,wytrawne,pełne,,False,True,92.0,Syrah
Prestige Chante Alouette Blanc Hermitage AOP Chapoutier,https://www.wina.pl/wina-biale-wytrawne/2689-prestige-chante-alouette-blanc-hermitage-aop-chapoutier.html,399.0,Francja,Dolina Rodanu,Hermitage AOP,Maison Michel Chapoutier,2018.0,0.75,13.5,10-12,białe,,wytrawne,,,False,True,,Marsanne
Primitivo di Manduria Sessantanni Old Vines San Marzano,https://www.wina.pl/wina-czerwone-wytrawne/1768-primitivo-di-manduria-sessantanni-old-vines-san-marzano.html,167.0,Włochy,Apulia,Primitivo di Manduria DOP,,2018.0,0.75,14.5,18,czerwone,,wytrawne,pełne,"Mundus Vini Gold, Berliner Gold, Tre Bicchieri Gambero Rosso",False,False,,Primitivo
Primitivo Domodo,https://www.wina.pl/wina-czerwone-wytrawne/1968-primitivo-domodo-.html,39.0,Włochy,Apulia,,,2021.0,0.75,12.0,18,czerwone,,wytrawne,średnie,,False,False,,Primitivo
Primitivo Feudo Badala,https://www.wina.pl/wina-czerwone-wytrawne/1822-primitivo-feudo-badala.html,55.0,Włochy,Apulia,Puglia IGT,San Rocco,2021.0,0.75,13.5,16-18,czerwone,,wytrawne,średnie,Mundus Vini Silver,False,False,,Primitivo
Primitivo Feudo Badala Evoluzione,https://www.wina.pl/wina-czerwone-wytrawne/2965-primitivo-feudo-badala-evoluzione.html,109.0,Włochy,Apulia,Puglia IGT,San Rocco,2018.0,0.75,14.0,16-18,czerwone,,wytrawne,pełne,,False,False,,Primitivo
Primitivo Luccarelli IGT Puglia,https://www.wina.pl/wina-czerwone-wytrawne/2645--primitivo-luccarelli-igt-puglia.html,55.0,Włochy,Apulia,Puglia IGT,Luccarelli - Terre di Sava,2021.0,0.75,13.5,16-18,czerwone,,wytrawne,średnie,,False,False,,Primitivo
Principato Merlot/Cabernet Sauvignon Provincia di Pavia IGT,https://www.wina.pl/wina-czerwone-wytrawne/2154-principato-merlot-cabernet-sauvignon-provincia-di-pavia-igt.html,41.0,Włochy,,,,2021.0,0.75,,16,czerwone,,wytrawne,,,False,False,,"Cabernet Sauvignon, Merlot"
Principato Pinot Grigio Provincia di Pavia IGT,https://www.wina.pl/wina-biale-wytrawne/2155-principato-pinot-grigio-provincia-di-pavia-igt.html,39.0,Włochy,Trentino Alto Adige,Pavia IGT,CAVIT Cantina Viticoltori del Trentino,2021.0,0.75,,,białe,,wytrawne,,,False,False,,Pinot Grigio
Prosecco Brut Conegliano Valdobbiadene DOCG Colvendra,https://www.wina.pl/wina-musujace/1782-prosecco-brut-conegliano-valdobbiadene-docg-colvendra.html,125.0,Włochy,Veneto,Prosecco di Conegliano-Valdobbiadene DOC,,,0.75,11.5,8,,,wytrawne,średnie,,False,False,,Prosecco
Prosecco Extra Dry Treviso DOC Colvendra,https://www.wina.pl/wina-musujace/1726-prosecco-extra-dry-treviso-doc-colvendra.html,65.0,Włochy,Veneto,Prosecco DOC,,,0.75,11.5,8,,,półwytrawne,średnie,,False,False,,Prosecco
